Booking_ID,Listing_ID,Date_Booked,Check_In_Date,Check_Out_Date,Price_Per_Night,Number_of_Nights,Total_Booking_Cost,Room_Type,Neighborhood,Guest_Count,Host_ID,Cancellation_Policy,Booking_Status
1,1334,3/16/2024,8/1/2023,8/15/2023,50.33,14,737.98,Private room,Midtown,8,5074,Strict,Confirmed
2,1429,2/20/2024,1/20/2023,1/22/2023,324.5,2,686.06,Shared room,Suburbs,8,5459,Moderate,Confirmed
3,1304,2/5/2025,6/30/2024,7/13/2024,495.17,13,6468.43,Entire home/apt,Uptown,8,5213,Flexible,Confirmed
4,1060,7/12/2024,4/2/2024,4/7/2024,431.83,5,2201.81,Private room,Suburbs,6,5229,Moderate,Cancelled
5,1129,5/2/2024,2/21/2025,3/3/2025,455.43,10,4595.23,Shared room,Beachfront,3,5138,Moderate,Confirmed
6,1394,1/11/2025,4/29/2024,5/1/2024,156.4,2,358.07,Private room,Suburbs,6,5445,Strict,Cancelled
7,1381,2/22/2024,6/15/2024,6/17/2024,214.54,2,446.57,Shared room,Uptown,3,5332,Strict,Confirmed
8,1361,8/15/2024,11/13/2023,11/24/2023,251.19,11,2777.72,Entire home/apt,Uptown,7,5052,Strict,Cancelled
9,1158,5/5/2023,4/26/2023,5/2/2023,212,6,1296.18,Private room,Downtown,4,5335,Moderate,Confirmed
10,1070,8/29/2023,11/25/2024,12/8/2024,185.82,13,2450.75,Entire home/apt,Beachfront,4,5137,Moderate,Confirmed
11,1008,12/12/2023,7/9/2024,7/13/2024,354.95,4,1432.83,Private room,Downtown,3,5392,Flexible,Confirmed
12,1190,12/11/2024,6/20/2024,6/23/2024,120.84,3,390.94,Entire home/apt,Uptown,5,5379,Flexible,Confirmed
13,1494,9/23/2023,4/29/2023,5/13/2023,442.81,14,6226.42,Shared room,Midtown,7,5176,Flexible,Cancelled
14,1050,1/13/2023,2/29/2024,3/12/2024,371.76,12,4486.34,Shared room,Midtown,7,5195,Strict,Confirmed
15,1120,7/19/2024,4/15/2023,4/29/2023,262.34,14,3701.88,Private room,Beachfront,5,5351,Flexible,Cancelled
16,1107,5/18/2024,2/25/2023,3/8/2023,236.95,11,2620.47,Entire home/apt,Downtown,4,5255,Flexible,Confirmed
17,1313,4/11/2023,12/9/2024,12/20/2024,384.16,11,4246.68,Entire home/apt,Downtown,4,5270,Flexible,Cancelled
18,1179,1/24/2023,12/13/2024,12/14/2024,282.08,1,322.67,Shared room,Midtown,5,5006,Flexible,Confirmed
19,1037,9/17/2024,10/6/2023,10/17/2023,52.5,11,625.3,Shared room,Beachfront,2,5156,Moderate,Cancelled
20,1280,9/13/2023,3/5/2023,3/7/2023,259.83,2,562.11,Entire home/apt,Midtown,4,5090,Strict,Confirmed
21,1441,9/17/2023,3/3/2023,3/8/2023,335.76,5,1701.67,Shared room,Downtown,2,5460,Moderate,Cancelled
22,1033,1/11/2025,11/6/2023,11/9/2023,197.15,3,619.47,Entire home/apt,Downtown,1,5197,Strict,Cancelled
23,1240,8/21/2024,8/15/2023,8/24/2023,56.85,9,555.39,Private room,Suburbs,4,5090,Strict,Cancelled
24,1171,11/22/2023,12/2/2024,12/6/2024,462.93,4,1884.84,Entire home/apt,Midtown,3,5210,Moderate,Cancelled
25,1080,1/7/2024,6/3/2024,6/7/2024,349.2,4,1436.84,Shared room,Suburbs,6,5175,Flexible,Cancelled
26,1385,10/11/2024,9/28/2024,10/12/2024,70.98,14,1026.25,Entire home/apt,Uptown,5,5081,Strict,Cancelled
27,1060,11/10/2024,7/27/2023,8/6/2023,420.6,10,4240.04,Shared room,Uptown,5,5112,Strict,Confirmed
28,1339,3/22/2024,12/6/2023,12/13/2023,366.59,7,2579.23,Private room,Uptown,8,5114,Moderate,Confirmed
29,1056,8/30/2023,5/19/2023,5/23/2023,422.23,4,1718.59,Private room,Suburbs,8,5341,Moderate,Cancelled
30,1309,7/7/2024,3/27/2024,3/28/2024,459.8,1,486.16,Entire home/apt,Uptown,8,5301,Strict,Confirmed
31,1142,10/15/2024,10/13/2024,10/24/2024,217.37,11,2407.5,Entire home/apt,Beachfront,1,5474,Strict,Confirmed
32,1383,3/17/2024,4/15/2023,4/19/2023,298.03,4,1203.41,Private room,Uptown,6,5037,Strict,Confirmed
33,1361,12/23/2023,4/30/2023,5/7/2023,399.86,7,2820.87,Shared room,Beachfront,5,5302,Moderate,Confirmed
34,1340,12/27/2023,10/27/2024,11/3/2024,498.97,7,3511.15,Entire home/apt,Uptown,7,5480,Strict,Confirmed
35,1399,8/31/2024,4/1/2023,4/3/2023,458.64,2,959.42,Private room,Uptown,2,5081,Flexible,Cancelled
36,1493,6/14/2023,4/4/2024,4/6/2024,390.71,2,794.08,Private room,Beachfront,2,5291,Moderate,Cancelled
37,1287,1/21/2024,2/24/2024,2/25/2024,377.45,1,389.45,Shared room,Suburbs,7,5100,Flexible,Confirmed
38,1457,10/3/2023,2/19/2023,2/25/2023,228.32,6,1384.29,Shared room,Uptown,6,5213,Strict,Confirmed
39,1064,11/30/2023,2/16/2024,2/25/2024,65.97,9,642.81,Private room,Midtown,3,5190,Flexible,Cancelled
40,1127,9/22/2023,10/3/2024,10/14/2024,188.32,11,2103.54,Shared room,Beachfront,8,5020,Moderate,Confirmed
41,1386,4/3/2024,3/17/2024,3/30/2024,450.59,13,5868.16,Shared room,Beachfront,6,5102,Moderate,Cancelled
42,1416,2/15/2024,8/28/2024,9/1/2024,242.17,4,994.49,Entire home/apt,Suburbs,8,5136,Strict,Confirmed
43,1277,6/24/2023,1/21/2023,1/27/2023,150.09,6,947.16,Shared room,Suburbs,2,5009,Moderate,Cancelled
44,1399,1/24/2023,8/7/2024,8/12/2024,66.22,5,372.63,Entire home/apt,Midtown,8,5023,Strict,Confirmed
45,1335,6/29/2023,8/16/2023,8/22/2023,497.06,6,2997.17,Shared room,Beachfront,7,5110,Moderate,Confirmed
46,1074,12/24/2023,3/3/2023,3/5/2023,432.02,2,912.63,Entire home/apt,Suburbs,2,5284,Flexible,Confirmed
47,1147,8/8/2023,10/11/2024,10/23/2024,377.81,12,4564.82,Shared room,Uptown,7,5290,Flexible,Confirmed
48,1204,3/27/2023,1/5/2023,1/10/2023,336.49,5,1718.84,Shared room,Midtown,6,5222,Strict,Confirmed
49,1249,2/21/2025,4/5/2024,4/8/2024,448.35,3,1380.3,Shared room,Beachfront,3,5308,Moderate,Cancelled
50,1017,6/28/2024,1/28/2024,2/4/2024,248.01,7,1754.28,Private room,Beachfront,4,5378,Flexible,Cancelled
51,1462,11/28/2023,11/21/2024,12/5/2024,390.55,14,5512.59,Entire home/apt,Uptown,8,5034,Moderate,Cancelled
52,1388,4/22/2024,5/5/2024,5/17/2024,112.61,12,1388.76,Private room,Uptown,1,5420,Moderate,Confirmed
53,1040,1/7/2023,7/15/2024,7/27/2024,165.55,12,2026.09,Private room,Uptown,7,5159,Strict,Confirmed
54,1236,7/24/2023,11/22/2024,11/26/2024,88.35,4,365.6,Shared room,Midtown,6,5123,Moderate,Confirmed
55,1313,5/23/2023,12/10/2024,12/11/2024,287.03,1,305.35,Entire home/apt,Beachfront,5,5058,Flexible,Confirmed
56,1476,12/5/2024,5/15/2023,5/18/2023,56.63,3,189.9,Private room,Midtown,3,5084,Moderate,Confirmed
57,1473,4/13/2023,3/13/2024,3/24/2024,328.94,11,3649.07,Private room,Midtown,6,5032,Moderate,Confirmed
58,1154,9/8/2023,2/21/2023,2/26/2023,367.07,5,1880.63,Private room,Suburbs,4,5337,Moderate,Confirmed
59,1188,5/16/2023,5/21/2024,6/3/2024,426.6,13,5570.65,Entire home/apt,Midtown,1,5024,Flexible,Confirmed
60,1131,6/20/2023,8/20/2024,8/21/2024,110.57,1,123.04,Private room,Beachfront,6,5126,Moderate,Cancelled
61,1446,4/2/2023,10/15/2023,10/19/2023,354.35,4,1440.54,Private room,Uptown,5,5499,Moderate,Cancelled
62,1361,4/16/2023,10/29/2023,11/11/2023,282.5,13,3712.01,Private room,Uptown,1,5072,Strict,Confirmed
63,1261,12/15/2024,1/16/2024,1/17/2024,265.06,1,294.84,Entire home/apt,Midtown,4,5049,Strict,Cancelled
64,1025,5/18/2024,9/1/2024,9/15/2024,417.99,14,5875.4,Entire home/apt,Midtown,4,5346,Moderate,Cancelled
